Date,HW,SW,WKLD,Trace,ALGO.,OP_BLK (%),GC_TR (%),PLN_PER_CHK,USER_RATE(%),BLK_MANAGE,WL_TH,DBG_ERASE_CNT_SCALE,Read Vol. (MB),Write Vol. (MB),Copy Vol. (MB),Read Avg. (KB),Write Avg. (KB),Read Lat. (us),Write Lat. (us),Erase Lat. (us),Free VB Total,Data VB Total,Erase (Chunk) Total,Erase (Chunk) perPu,Erase (Chunk) Cnt. Avg.,Erase (Chunk) Std.Dev,RBER (Chunk) Std.Dev.,RBER (Chunk) Avg.,RBEC (Chunk) Std.Dev.,RBEC (Chunk) Avg.,Data Chunk Total Rate (%).,Data Chunk Total Rate in pu(%).,Data Chunk Rate (%).
2021-4-18-15-25-18,HW_MULTI_PL2_SLC_OP0,SW_WL_PL2_GC2_ST,WKD_USR80_SEQ,SEQ,Static,0,2,2,80,1,4,100,0,4340895,0,-1.000000,32.000000,-1.000000,8852661191.125629,8959638333.809332,3278,13104,1072119,135578_135362_133530_133530_133530_133530_133530_133530,523.496094,458.063506,0.000136,0.002244,4.459821,73.530639,79.980469,0.799805_0.799805_0.799805_0.799805_0.799805_0.799805_0.799805_0.799805,79.980469
2021-4-18-15-24-52,HW_MULTI_PL2_SLC_OP0,SW_WL_PL2_GC2_DY,WKD_USR60_SEQ,SEQ,Dynamic,0,2,2,60,1,4,100,0,4447059,0,-1.000000,32.000000,-1.000000,9075440531.657682,9155697106.265402,6558,9824,1101940,138036_138036_138036_138036_138036_138036_137737_135988,538.057129,470.823450,0.000071,0.002392,2.340594,78.385993,59.960938,0.599609_0.599609_0.599609_0.599609_0.599609_0.599609_0.599609_0.599609,59.960938
2021-4-18-15-33-15,HW_MULTI_PL4_SLC_OP0,SW_WL_PL4_GC2_ST,WKD_USR80_SEQ,SEQ,Static,0,2,4,80,1,4,100,0,4327527,0,-1.000000,32.000000,-1.000000,8823447433.059536,8930422165.945732,1637,6552,534388,133799_133530_133530_133530,260.932129,195.707290,0.000192,0.002230,6.287063,73.085304,79.992676,0.800293_0.799805_0.799805_0.799805,79.992676
2021-4-18-15-34-46,HW_MULTI_PL4_SLC_OP0,SW_WL_PL4_GC2_DY,WKD_USR60_SEQ,SEQ,Dynamic,0,2,4,60,1,4,100,0,4397247,0,-1.000000,32.000000,-1.000000,8971970507.308107,9052226129.041842,3277,4912,544743,136780_135988_135988_135988,265.988281,199.538189,0.000098,0.002322,3.226918,76.072206,59.973145,0.600098_0.599609_0.599609_0.599609,59.973145
2021-4-18-15-38-36,HW_MULTI_PL8_SLC_OP0,SW_WL_PL8_GC2_ST,WKD_USR80_SEQ,SEQ,Static,0,2,8,80,1,4,100,0,4224655,0,-1.000000,32.000000,-1.000000,8610639904.593462,8717599047.653082,818,3276,260764,131331_129434,127.326660,63.684450,0.000207,0.002105,6.777536,68.979625,79.980469,0.799805_0.799805,79.980469
2021-4-18-15-42-16,HW_MULTI_PL16_SLC_OP0,SW_WL_PL16_GC2_ST,WKD_USR80_SEQ,SEQ,Static,0,2,16,80,1,4,100,0,4248831,0,-1.000000,32.000000,-1.000000,8653281413.402533,8760188586.223873,408,1638,131137,131138,64.032227,1.343364,0.000223,0.002142,7.307593,70.196963,79.980469,0.799805,79.980469
2021-4-18-15-41-14,HW_MULTI_PL8_SLC_OP0,SW_WL_PL8_GC2_DY,WKD_USR60_SEQ,SEQ,Dynamic,0,2,8,60,1,4,100,0,4398479,0,-1.000000,32.000000,-1.000000,8971310351.048700,9051544620.859995,1638,2456,272448,136461_135988,133.031738,66.632748,0.000114,0.002323,3.728334,76.123779,59.985352,0.600098_0.599609,59.985352
2021-4-18-15-46-6,HW_MULTI_PL16_SLC_OP0,SW_WL_PL16_GC2_DY,WKD_USR60_SEQ,SEQ,Dynamic,0,2,16,60,1,4,100,0,4444031,0,-1.000000,32.000000,-1.000000,9058032895.884283,9138214043.909595,818,1228,137647,137648,67.210938,3.913298,0.000125,0.002390,4.081158,78.329855,59.960938,0.599609,59.960938
2021-4-18-15-50-25,HW_MULTI_PL2_SLC_OP0,SW_WL_PL2_GC2_DY,WKD_USR80_SEQ,SEQ,Dynamic,0,2,2,80,1,4,100,0,4391015,0,-1.000000,32.000000,-1.000000,8954684234.161333,9061658231.687670,3278,13105,1084649,135604_135578_135578_135578_135578_135578_135578_135578,529.614258,463.426177,0.000090,0.002297,2.952003,75.280580,79.986572,0.800293_0.799805_0.799805_0.799805_0.799805_0.799805_0.799805_0.799805,79.986572
2021-4-18-15-57-57,HW_MULTI_PL4_SLC_OP0,SW_WL_PL4_GC2_DY,WKD_USR80_SEQ,SEQ,Dynamic,0,2,4,80,1,4,100,0,4405415,0,-1.000000,32.000000,-1.000000,8982807290.644804,9089787938.102257,1638,6551,544124,137391_135578_135578_135578,265.686035,199.292489,0.000130,0.002319,4.248081,75.974473,79.980469,0.799805_0.799805_0.799805_0.799805,79.980469
2021-4-18-16-3-17,HW_MULTI_PL8_SLC_OP0,SW_WL_PL8_GC2_DY,WKD_USR80_SEQ,SEQ,Dynamic,0,2,8,80,1,4,100,0,4393327,0,-1.000000,32.000000,-1.000000,8954683539.602880,9061642300.518911,818,3276,271306,135729_135578,132.474121,66.310473,0.000146,0.002299,4.780299,75.343149,80.004883,0.800293_0.799805,80.004883
2021-4-18-16-7-35,HW_MULTI_PL16_SLC_OP0,SW_WL_PL16_GC2_DY,WKD_USR80_SEQ,SEQ,Dynamic,0,2,16,80,1,4,100,0,4388511,0,-1.000000,32.000000,-1.000000,8938555527.016951,9045467524.800932,408,1638,135502,135503,66.163574,2.916832,0.000155,0.002295,5.080898,75.192384,79.980469,0.799805,79.980469
